hd,Name,Object,Info,Price,img,Skymap,wikipedia
709,709,star,,100,,yes,
710,710,star,,100,,yes,
711,711,star,,100,,yes,
712,712,star,,100,,yes,
716,716,star,,100,,yes,
717,717,star,,100,,yes,
718,718,star,,100,,yes,
720,720,star,,100,,yes,
724,724,star,,100,,yes,
725,725,star,,100,,yes,
727,727,star,,100,,yes,
729,729,star,,100,,yes,
730,730,star,,100,,yes,
731,731,star,,100,,yes,
732,732,star,,100,,yes,
733,733,star,,100,,yes,
734,734,star,,100,,yes,
737,737,star,,100,,yes,
738,738,star,,100,,yes,
739,739,star,,100,,yes,
740,740,star,,100,,yes,
741,741,star,,100,,yes,
743,743,star,,100,,yes,
744,744,star,,100,,yes,
745,745,star,,100,,yes,
747,747,star,,100,,yes,
748,748,star,,100,,yes,
749,749,star,,100,,yes,
750,750,star,,100,,yes,
751,751,star,,100,,yes,
754,754,star,,100,,yes,
755,755,star,,100,,yes,
756,756,star,,100,,yes,
757,757,star,,100,,yes,
758,758,star,,100,,yes,
759,759,star,,100,,yes,
761,761,star,,100,,yes,
762,762,star,,100,,yes,
763,763,star,,100,,yes,
764,764,star,,100,,yes,
765,765,star,,100,,yes,
766,766,star,,100,,yes,
768,768,star,,100,,yes,
769,769,star,,100,,yes,
770,770,star,,100,,yes,
772,772,star,,100,,yes,
775,775,star,,100,,yes,
776,776,star,,100,,yes,
778,778,star,,100,,yes,
779,779,star,,100,,yes,
780,780,star,,100,,yes,
783,783,star,,100,,yes,
784,784,star,,100,,yes,
786,786,star,,100,,yes,
787,787,star,,100,,yes,
789,789,star,,100,,yes,
790,790,star,,100,,yes,
791,791,star,,100,,yes,
793,793,star,,100,,yes,
794,794,star,,100,,yes,
798,798,star,,100,,yes,
800,800,star,,100,,yes,
801,801,star,,100,,yes,
802,802,star,,100,,yes,
803,803,star,,100,,yes,
804,804,star,,100,,yes,
805,805,star,,100,,yes,
808,808,star,,100,,yes,
809,809,star,,100,,yes,
810,810,star,,100,,yes,
811,811,star,,100,,yes,
812,812,star,,100,,yes,
814,814,star,,100,,yes,
815,815,star,,100,,yes,
818,818,star,,100,,yes,
819,819,star,,100,,yes,
820,820,star,,100,,yes,
821,821,star,,100,,yes,
822,822,star,,100,,yes,
823,823,star,,100,,yes,
824,824,star,,100,,yes,
825,825,star,,100,,yes,
826,826,star,,100,,yes,
829,829,star,,100,,yes,
830,830,star,,100,,yes,
831,831,star,,100,,yes,
834,834,star,,100,,yes,
838,838,star,,100,,yes,
839,839,star,,100,,yes,
841,841,star,,100,,yes,
842,842,star,,100,,yes,
843,843,star,,100,,yes,
845,845,star,,100,,yes,
849,849,star,,100,,yes,
850,850,star,,100,,yes,
851,851,star,,100,,yes,
852,852,star,,100,,yes,
853,853,star,,100,,yes,
855,855,star,,100,,yes,
856,856,star,,100,,yes,
857,857,star,,100,,yes,
858,858,star,,100,,yes,
859,859,star,,100,,yes,
861,861,star,,100,,yes,
863,863,star,,100,,yes,
864,864,star,,100,,yes,
866,866,star,,100,,yes,
870,870,star,,100,,yes,
872,872,star,,100,,yes,
873,873,star,,100,,yes,
